domain_id,subdomain_id,variable_id,variable_code,variable_name
EBA_Float,EBA_Float,EBA_FIELD_mi118,mi118,Exposure net of value adjustments and provisions
EBA_Float,EBA_Float,EBA_FIELD_mi119,mi119,Exposure value
EBA_Float,EBA_Float,EBA_FIELD_mi120,mi120,Exposure value - all exposures
EBA_Float,EBA_Float,EBA_FIELD_mi1200,mi1200,Net change of own funds requirements resulting from the reclassification
EBA_Float,EBA_Float,EBA_FIELD_mi1201,mi1201,Squared rescaled scenario risk measure
EBA_Float,EBA_Float,EBA_FIELD_mi1204,mi1204,Partial expected shortfall measure
EBA_Float,EBA_Float,EBA_FIELD_mi1205,mi1205,Partial expected shortfall measure at time t
EBA_Float,EBA_Float,EBA_FIELD_mi1206,mi1206,Unconstrained expected shortfall measure
EBA_Float,EBA_Float,EBA_FIELD_mi1207,mi1207,Expected shortfall
EBA_Float,EBA_Float,EBA_FIELD_mi1208,mi1208,Gains or losses in case of default of the issuer (JTD DRC)
EBA_Float,EBA_Float,EBA_FIELD_mi121,mi121,Exposure Value deducted from own funds
EBA_Float,EBA_Float,EBA_FIELD_mi1210,mi1210,Rescaled scenario risk measure
EBA_Float,EBA_Float,EBA_FIELD_mi1211,mi1211,"Gains or losses in case of default of the issuer (JTD DRC), net per issuer"
EBA_Float,EBA_Float,EBA_FIELD_mi122,mi122,"Exposure value, including value adjustments and provisions"
EBA_Float,EBA_Float,EBA_FIELD_mi123,mi123,"Exposure value, including value adjustments and provisions, deducted from own funds"
EBA_Float,EBA_Float,EBA_FIELD_mi124,mi124,"Exposure value, including value adjustments and provisions, subject to risk weights"
EBA_Float,EBA_Float,EBA_FIELD_mi125,mi125,"Exposure value, net of value adjustments and provisions"
EBA_Float,EBA_Float,EBA_FIELD_mi126,mi126,"Exposure value, net of value adjustments and provisions, deducted from own funds"
EBA_Float,EBA_Float,EBA_FIELD_mi127,mi127,"Exposure value, net of value adjustments and provisions, subject to risk weights"
EBA_Float,EBA_Float,EBA_FIELD_mi129,mi129,Fair value
EBA_Float,EBA_Float,EBA_FIELD_mi1301,mi1301,Expected shortfall risk measure
EBA_Float,EBA_Float,EBA_FIELD_mi1303,mi1303,Sum of curvature risk positions
EBA_Float,EBA_Float,EBA_FIELD_mi1310,mi1310,Annual expense or estimated cost
EBA_Float,EBA_Float,EBA_FIELD_mi132,mi132,"Fully adjusted exposure value (E*), net of value adjustments and provisions"
EBA_Float,EBA_Float,EBA_FIELD_mi133,mi133,Fully adjusted exposure value E* including value adjustments and provisions
EBA_Float,EBA_Float,EBA_FIELD_mi134,mi134,Goodwill included in carrying amount
EBA_Float,EBA_Float,EBA_FIELD_mi1344,mi1344,Sum of weighted sensitivities
EBA_Float,EBA_Float,EBA_FIELD_mi135,mi135,Accumulated change in fair value before taxes
EBA_Float,EBA_Float,EBA_FIELD_mi136,mi136,Gross carrying amount
EBA_Float,EBA_Float,EBA_FIELD_mi1360,mi1360,Intra-group transaction significance threshold_1
EBA_Float,EBA_Float,EBA_FIELD_mi1361,mi1361,Intra-group transaction significance threshold_2
EBA_Float,EBA_Float,EBA_FIELD_mi1362,mi1362,Intra-group transaction significance threshold_3
EBA_Float,EBA_Float,EBA_FIELD_mi1363,mi1363,Risk concentration quantitative limit
